index	label
0	的
1	在
2	了
3	和
4	是
5	一
6	为
7	有
8	不
9	对
10	上
11	中
12	中国
13	发展
14	这
15	要
16	多
17	与
18	到
19	他
20	也
21	等
22	人
23	经济
24	个
25	就
26	说
27	年
28	地
29	工作
30	将
31	以
32	企业
33	新
34	大
35	记者
36	国家
37	从
38	我们
39	两
40	都
41	一个
42	我
43	１月
44	建设
45	问题
46	着
47	来
48	市场
49	已
50	全国
51	人民
52	并
53	还
54	把
55	元
56	而
57	本报
58	能
59	后
60	北京
61	他们
62	向
63	又
64	进行
65	使
66	李
67	好
68	下
69	改革
70	出
71	电
72	张
73	政府
74	于
75	但
76	社会
77	我国
78	地区
79	美国
80	新华社
81	时
82	由
83	公司
84	世界
85	之
86	领导
87	管理
88	三
89	次
90	更
91	最
92	关系
93	活动
94	高
95	王
96	据
97	国际
98	群众
99	名
100	重要
101	被
102	副
103	起
104	提高
105	技术
106	自己
107	没有
108	干部
109	部门
110	很
111	一些
112	所
113	给
114	职工
115	里
116	文化
117	会
118	生产
119	同志
120	去年
121	金融
122	今天
123	种
124	得
125	加强
126	其
127	位
128	家
129	会议
130	组织
131	过
132	们
133	第一
134	方面
135	国
136	党
137	有关
138	生活
139	几
140	产品
141	人员
142	用
143	研究
144	报道
145	１９９７年
146	前
147	刘
148	主要
149	增长
150	服务
151	合作
152	通过
153	科技
154	社会主义
155	解决
156	工程
157	农业
158	要求
159	表示
160	可以
161	目前
162	讯
163	中央
164	实现
165	各
166	精神
167	历史
168	及
169	同时
170	银行
171	教育
172	或
173	农村
174	成为
175	政策
176	它
177	举行
178	达
179	认为
180	这些
181	条
182	美元
183	她
184	主席
185	可
186	这个
187	水平
188	农民
189	图片
190	单位
191	１
192	同
193	情况
194	陈
195	再
196	建立
197	看
198	只
199	江
200	积极
201	应
202	提出
203	天
204	去
205	人们
206	钱
207	小
208	取得
209	投资
210	项
211	进一步
212	你
213	民族
214	继续
215	周
216	近
217	走
218	今年
219	至
220	产业
221	必须
222	基础
223	作为
224	香港
225	参加
226	开始
227	稳定
228	做
229	影响
230	此
231	制度
232	经营
233	困难
234	需要
235	开展
236	政治
237	女
238	特别
239	内
240	让
241	才
242	集团
243	努力
244	提供
245	坚持
246	资金
247	作用
248	许多
249	希望
250	价格
251	项目
252	３
253	指出
254	比
255	日本
256	却
257	较
258	结构
259	这种
260	送
261	开发
262	由于
263	国务院
264	艺术
265	总理
266	体育
267	基本
268	这样
269	成
270	届
271	上海
272	事业
273	和平
274	已经
275	思想
276	支持
277	全面
278	那
279	总统
280	共同
281	当
282	地方
283	以及
284	决定
285	泽民
286	时间
287	春节
288	形成
289	以来
290	促进
291	其中
292	世纪
293	国有
294	增加
295	实施
296	规定
297	学习
298	调整
299	出现
300	代表
301	采取
302	实行
303	统一
304	措施
305	美
306	环境
307	质量
308	传统
309	发生
310	曾
311	起来
312	条件
313	万
314	５
315	不断
316	中心
317	如
318	批
319	为了
320	任务
321	四
322	二
323	委员会
324	具有
325	实际
326	共
327	重点
328	结合
329	岁
330	正
331	进
332	强调
333	机构
334	广大
335	十五大
336	城市
337	以上
338	占
339	伊拉克
340	计划
341	进入
342	米
343	其他
344	信息
345	市
346	现在
347	住房
348	第二
349	安全
350	得到
351	根据
352	文明
353	想
354	贫困
355	作出
356	一定
357	新闻
358	首
359	摄
360	扶贫
361	体制
362	１０
363	保持
364	该
365	无
366	先进
367	余
368	４
369	开放
370	而且
371	过去
372	这里
373	机关
374	因
375	两岸
376	五
377	分
378	达到
379	完成
380	利用
381	不仅
382	目标
383	发现
384	形式
385	工业
386	办
387	则
388	可能
389	专家
390	战略
391	国内
392	书记
393	俄
394	应当
395	２０
396	严重
397	各级
398	经过
399	不同
400	理论
401	发挥
402	作
403	祖国
404	吴
405	成功
406	重视
407	省
408	能力
409	重大
410	孩子
411	１９９６年
412	帮助
413	讲
414	地震
415	长
416	部分
417	主任
418	系统
419	本
420	因为
421	如果
422	落实
423	年代
424	出口
425	收入
426	总
427	台湾
428	各种
429	危机
430	１９９８年
431	方式
432	推动
433	吃
434	推进
435	老
436	开
437	什么
438	科学
439	全
440	介绍
441	便
442	部队
443	包括
444	看到
445	素质
446	认识
447	既
448	政协
449	十分
450	仍
451	２
452	深入
453	发表
454	杨
455	月
456	关于
457	有的
458	附
459	会见
460	演出
461	下岗
462	成果
463	因此
464	利益
465	成立
466	现代化
467	就业
468	对于
469	之间
470	作品
471	青年
472	资源
473	各地
474	县
475	点
476	实践
477	期间
478	受
479	灾区
480	内容
481	时期
482	受到
483	仅
484	设施
485	行动
486	联合
487	行业
488	机制
489	自
490	外
491	写
492	领域
493	英国
494	联合国
495	如何
496	保护
497	双方
498	按照
499	规模
500	优势
501	驻
502	召开
503	原因
504	充分
505	像
506	新年
507	了解
508	大学
509	监督
510	经验
511	行为
512	竞争
513	赵
514	原则
515	欧洲
516	反
517	调查
518	投入
519	形势
520	制定
521	良好
522	家庭
523	比赛
524	俄罗斯
525	件
526	分别
527	过程
528	贡献
529	创造
530	部长
531	获得
532	直接
533	贯彻
534	日前
535	资产
536	人才
537	全部
538	力量
539	系列
540	认真
541	学生
542	创作
543	间
544	存在
545	交通
546	变化
547	造成
548	保证
549	阶段
550	户
551	这次
552	访问
553	扩大
554	持续
555	产生
556	体系
557	正在
558	当地
559	健康
560	每
561	十
562	医院
563	革命
564	犯罪
565	低
566	场
567	大家
568	改善
569	１２月
570	强
571	有效
572	宣布
573	没
574	少
575	结果
576	最近
577	长期
578	意义
579	京
580	学校
581	日
582	图
583	先后
584	货币
585	军事
586	徐
587	斗争
588	贸易
589	邓小平理论
590	鹏
591	明显
592	干
593	增强
594	加快
595	事
596	市场经济
597	按
598	贷款
599	个人
600	宣传
601	首先
602	现代
603	亚洲
604	指导
605	台
606	报告
607	电话
608	路
609	讲话
610	段
611	参与
612	优秀
613	结束
614	朱
615	责任
616	负责
617	电视
618	大量
619	应该
620	但是
621	成绩
622	自治区
623	具体
624	相
625	更加
626	财政
627	人口
628	中共中央
629	打
630	来自
631	高度
632	进程
633	行政
634	吨
635	根本
636	１００
637	处理
638	减少
639	现象
640	石油
641	加大
642	表现
643	一起
644	６
645	住
646	商品
647	居民
648	晚会
649	分析
650	新春
651	力度
652	接受
653	邓
654	不少
655	读者
656	抓
657	方针
658	最后
659	团结
660	执行
661	资本
662	各项
663	还有
664	任何
665	腐败
666	集中
667	买
668	水
669	精神文明
670	搞
671	标准
672	统计
673	时代
674	带
675	第三
676	法国
677	基层
678	特色
679	伟大
680	观众
681	选举
682	难
683	胡
684	带来
685	联系
686	地位
687	大力
688	首都
689	亩
690	案件
691	法律
692	甚至
693	罗
694	准备
695	出版
696	培训
697	每年
698	约
699	５０
700	来到
701	未
702	黄
703	八
704	引起
705	电力
706	孙
707	业务
708	使用
709	令
710	恩来
711	检查
712	逐步
713	即
714	知识
715	天津
716	队伍
717	举办
718	马
719	话剧
720	或者
721	然而
722	明确
723	证券
724	书
725	其琛
726	拿
727	经
728	出来
729	林
730	市委
731	之一
732	党中央
733	能够
734	设备
735	整个
736	出席
737	友好
738	平均
739	控制
740	培养
741	真正
742	反映
743	铁路
744	所有
745	速度
746	当前
747	欢迎
748	京剧
749	关键
750	大型
751	办法
752	呢
753	及时
754	巨大
755	均
756	效益
757	发
758	３０
759	德国
760	建
761	销售
762	公里
763	随着
764	北京市
765	交流
766	变
767	汽车
768	节日
769	老人
770	比较
771	商业
772	何
773	表明
774	会谈
775	进步
776	旅游
777	公安
778	有限公司
779	还是
780	初
781	体现
782	完全
783	价值
784	需求
785	谈
786	完善
787	突出
788	７
789	协会
790	正式
791	近年来
792	委员
793	处
794	超过
795	谈判
796	因素
797	一直
798	外交
799	菜篮子
800	全市
801	支
802	方法
803	领导人
804	最高
805	连续
806	８
807	泰国
808	下午
809	恢复
810	转变
811	之后
812	各国
813	合理
814	部
815	内部
816	意见
817	手
818	而是
819	只有
820	土地
821	关注
822	从而
823	适应
824	时候
825	现实
826	未来
827	请
828	劳动
829	状况
830	见
831	依法
832	意识
833	国民经济
834	一切
835	改变
836	关心
837	虽然
838	小平
839	建成
840	一月
841	一样
842	谁
843	交易
844	反对
845	基金
846	节目
847	集体
848	教师
849	安排
850	严格
851	任
852	军队
853	批准
854	选手
855	程度
856	维护
857	正确
858	党委
859	突破
860	风险
861	感到
862	村
863	广泛
864	人类
865	观念
866	典型
867	下降
868	韩国
869	太
870	自然
871	１９９５年
872	靠
873	越来越
874	多种
875	学
876	迅速
877	座
878	连
879	著名
880	越
881	回
882	话
883	建议
884	原
885	解放军
886	金
887	基地
888	组成
889	进展
890	道
891	粮食
892	事件
893	人士
894	官兵
895	选择
896	救灾
897	以色列
898	规范
899	运行
900	小组
901	非常
902	保障
903	早
904	面积
905	设计
906	范围
907	全省
908	另
909	站
910	形象
911	半
912	省委
913	协议
914	损失
915	探索
916	确定
917	多少
918	慰问
919	８０
920	宏观
921	拥有
922	面临
923	切实
924	尤其
925	份
926	欧盟
927	朋友
928	改造
929	头
930	相互
931	广东
932	千
933	先生
934	快
935	今后
936	区域
937	股市
938	成员
939	面对
940	做好
941	重
942	底
943	专业
944	近日
945	人物
946	深化
947	坚决
948	重新
949	给予
950	有人
951	丰富
952	石
953	电子
954	南
955	市民
956	外资
957	股票
958	部署
959	问
960	爱
961	趋势
962	汇率
963	天气
964	协调
965	左右
966	快速
967	妇女
968	下乡
969	卫生
970	先
971	南非
972	套
973	尽管
974	片
975	顺利
976	知道
977	道路
978	区
979	整体
980	手段
981	深
982	综合
983	如今
984	正是
985	克林顿
986	上午
987	外国
988	只要
989	生命
990	方
991	民主
992	号
993	外长
994	目的
995	兼并
996	繁荣
997	往
998	局面
999	推广
1000	东南亚
1001	温暖
1002	特点
1003	韩
1004	同胞
1005	许
1006	科研
1007	是否
1008	１日
1009	那些
1010	４０
1011	一般
1012	相当
1013	厂
1014	一致
1015	机会
1016	矛盾
1017	１１月
1018	股份制
1019	为主
1020	再次
1021	分配
1022	核查
1023	常委会
1024	６０
1025	军区
1026	旅客
1027	广州
1028	报
1029	乡
1030	学者
1031	推出
1032	上年
1033	消费
1034	仪式
1035	六
1036	战士
1037	武器
1038	注意
1039	毛
1040	人大
1041	彭
1042	检察院
1043	灾民
1044	告诉
1045	车
1046	有些
1047	各界
1048	电视台
1049	符合
1050	９０
1051	８日
1052	２１
1053	百
1054	１５
1055	成就
1056	１２日
1057	现场
1058	成本
1059	走向
1060	鼓励
1061	１３日
1062	白
1063	文艺
1064	核心
1065	那么
1066	交
1067	证明
1068	来说
1069	旗帜
1070	经贸
1071	负责人
1072	党员
1073	获
1074	消费者
1075	相信
1076	主张
1077	进口
1078	有利于
1079	医疗
1080	它们
1081	以后
1082	找
1083	人民币
1084	中东
1085	如此
1086	方向
1087	兼
1088	块
1089	西方
1090	从事
1091	普遍
1092	所以
1093	九
1094	叫
1095	引进
1096	争取
1097	花
1098	军
1099	功能
1100	宋
1101	信心
1102	马克思主义
1103	西藏
1104	称
1105	岚清
1106	周年
1107	公斤
1108	１９９４年
1109	事故
1110	开拓
1111	人均
1112	纷纷
1113	满
1114	巴
1115	专门
1116	代
1117	改
1118	政治局
1119	虎
1120	听
1121	演员
1122	始终
1123	２００
1124	自身
1125	华人
1126	乡镇企业
1127	全体
1128	引导
1129	物资
1130	意大利
1131	你们
1132	围绕
1133	主管
1134	行
1135	步
1136	全球
1137	旧
1138	新疆
1139	下跌
1140	跨
1141	心
1142	刚
1143	发行
1144	此次
1145	工人
1146	做出
1147	岗位
1148	蔬菜
1149	郭
1150	实力
1151	怎么
1152	字
1153	雪
1154	承担
1155	感谢
1156	虎年
1157	小时
1158	广播
1159	还要
1160	山区
1161	不可
1162	利率
1163	电影
1164	大使
1165	难以
1166	批评
1167	当时
1168	出版社
1169	海关
1170	经常
1171	外汇
1172	处于
1173	元旦
1174	决策
1175	些
1176	打击
1177	方案
1178	当局
1179	设立
1180	２２日
1181	必要
1182	态度
1183	第四
1184	９月
1185	文章
1186	讨论
1187	密切
1188	每天
1189	强烈
1190	规划
1191	执法
1192	很多
1193	就是
1194	标志
1195	食品
1196	７月
1197	１９日
1198	潘
1199	各个
1200	句
1201	最终
1202	中华民族
1203	１２
1204	江苏
1205	梁
1206	调控
1207	５日
1208	深刻
1209	１４日
1210	１５日
1211	１０００
1212	创
1213	轮
1214	上升
1215	尚
1216	主持
1217	高级
1218	１０月
1219	倍
1220	照片
1221	说明
1222	运动
1223	公布
1224	下来
1225	市政府
1226	高兴
1227	充满
1228	冠军
1229	战争
1230	列车
1231	品种
1232	通知
1233	考虑
1234	做到
1235	晚
1236	出发
1237	２１日
1238	篇
1239	英
1240	人次
1241	村民
1242	坐
1243	极
1244	呼吁
1245	运输
1246	供应
1247	级
1248	尽快
1249	中亚
1250	胜利
1251	数
1252	官员
1253	文学
1254	山东
1255	采用
1256	吗
1257	创新
1258	总结
1259	非洲
1260	法
1261	卖
1262	仍然
1263	亲切
1264	华盛顿
1265	戏剧
1266	导致
1267	中央军委
1268	中华
1269	特殊
1270	监管
1271	东西
1272	几乎
1273	表演
1274	状态
1275	用于
1276	上市
1277	挑战
1278	发出
1279	放在
1280	抓住
1281	读
1282	代表团
1283	入
1284	刚刚
1285	每个
1286	在于
1287	位置
1288	普通
1289	飞机
1290	抓好
1291	叶
1292	１３
1293	模式
1294	自治
1295	原来
1296	数量
1297	机遇
1298	音乐
1299	秩序
1300	涉及
1301	市长
1302	郑
1303	东亚
1304	作风
1305	四川
1306	平方米
1307	上述
1308	田
1309	真
1310	电脑
1311	唱
1312	６日
1313	比例
1314	情
1315	数字
1316	人民法院
1317	某
1318	南京
1319	主体
1320	此间
1321	安
1322	热情
1323	２０日
1324	戴
1325	除
1326	确保
1327	违法
1328	掌握
1329	于是
1330	各类
1331	国外
1332	儿童
1333	担任
1334	高举
1335	展开
1336	气氛
1337	口
1338	依靠
1339	以下
1340	邀请
1341	故事
1342	针对
1343	３００
1344	前景
1345	加入
1346	负担
1347	缺乏
1348	规律
1349	伊朗
1350	纪录
1351	舞台
1352	母亲
1353	公开
1354	学院
1355	优化
1356	廉政
1357	采访
1358	愿
1359	经济效益
1360	除了
1361	迎
1362	回归
1363	指
1364	一点
1365	当代
1366	类
1367	议会
1368	７０
1369	奋斗
1370	及其
1371	用户
1372	总体
1373	运动员
1374	这项
1375	显示
1376	管
1377	虽
1378	常
1379	收
1380	签署
1381	吸引
1382	媒体
1383	党风
1384	共产党
1385	北约
1386	降低
1387	报纸
1388	整顿
1389	终于
1390	晚上
1391	大会
1392	教授
1393	２３日
1394	办公室
1395	理解
1396	模范
1397	联盟
1398	人数
1399	完
1400	有所
1401	生产力
1402	董
1403	５００
1404	河北省
1405	拉
1406	伊
1407	面向
1408	主题
1409	考察
1410	学术
1411	治理
1412	捐款
1413	达成
1414	７日
1415	购买
1416	边
1417	包
1418	层次
1419	方便
1420	立即
1421	收费
1422	税收
1423	步伐
1424	显著
1425	日益
1426	明天
1427	拜年
1428	音乐会
1429	当然
1430	即将
1431	加拿大
1432	压力
1433	公路
1434	无法
1435	研制
1436	热烈
1437	加工
1438	人民政府
1439	过年
1440	资料
1441	此外
1442	全年
1443	产业化
1444	换
1445	运用
1446	乡镇
1447	脱贫
1448	研究所
1449	多次
1450	第八
1451	前进
1452	您
1453	带动
1454	树立
1455	纪念
1456	总书记
1457	队
1458	肯定
1459	华
1460	局长
1461	取消
1462	网络
1463	评价
1464	线
1465	强化
1466	非
1467	势头
1468	优良
1469	正常
1470	１０日
1471	克服
1472	当选
1473	事情
1474	离开
1475	舆论
1476	格局
1477	面
1478	飞
1479	材料
1480	物质
1481	之中
1482	依然
1483	只能
1484	指数
1485	组建
1486	秘书长
1487	１１
1488	紧急
1489	国民
1490	１１日
1491	全县
1492	流通
1493	阿
1494	昨天
1495	赴
1496	东部
1497	工商
1498	内塔尼亚胡
1499	怎样
1500	降
1501	尊重
1502	树
1503	东
1504	老师
1505	小康
1506	远
1507	消除
1508	搞好
1509	常委
1510	大国
1511	满足
1512	指挥
1513	９
1514	初步
1515	９日
1516	这么
1517	当年
1518	客观
1519	周围
1520	留下
1521	建筑
1522	独立
1523	总经理
1524	科学家
1525	河北
1526	不再
1527	加
1528	有力
1529	１９９３年
1530	气温
1531	作者
1532	离
1533	２５
1534	七
1535	客人
1536	法制
1537	长江
1538	祝贺
1539	总公司
1540	省长
1541	预计
1542	南方
1543	工作者
1544	解放思想
1545	治疗
1546	地质
1547	渠道
1548	有着
1549	山
1550	同意
1551	海外
1552	不足
1553	制造
1554	深圳
1555	污染
1556	改制
1557	振兴
1558	推行
1559	成效
1560	比重
1561	武警
1562	国防
1563	路线
1564	声明
1565	带领
1566	年轻
1567	广告
1568	辆
1569	之际
1570	找到
1571	忙
1572	巩固
1573	追求
1574	等等
1575	团体
1576	构成
1577	往往
1578	画
1579	门
1580	２４日
1581	局
1582	治安
1583	效果
1584	特区
1585	座谈会
1586	观点
1587	袁
1588	佳节
1589	满意
1590	航空
1591	极大
1592	预算
1593	做法
1594	大大
1595	住宅
1596	之前
1597	积极性
1598	会晤
1599	平衡
1600	冲突
1601	平
1602	２月
1603	环节
1604	２０００
1605	物价
1606	阿拉伯
1607	武汉
1608	活力
1609	纽约
1610	属于
1611	水利
1612	撤军
1613	钢琴
1614	别人
1615	西部
1616	然后
1617	发扬
1618	高新技术
1619	乔
1620	２９日
1621	落后
1622	楚政
1623	广场
1624	穿
1625	消息
1626	欧
1627	集团公司
1628	众多
1629	龙
1630	人生
1631	英雄
1632	工资
1633	产量
1634	语言
1635	其它
1636	创建
1637	机场
1638	事务
1639	立场
1640	张家口
1641	人民日报
1642	招待会
1643	伙伴
1644	收到
1645	分钟
1646	对外
1647	对外开放
1648	自觉
1649	双拥
1650	动荡
1651	属
1652	冯
1653	紧密
1654	经历
1655	中共
1656	觉得
1657	４日
1658	红
1659	优质
1660	手中
1661	美好
1662	予以
1663	家里
1664	时刻
1665	保险
1666	春
1667	民警
1668	谢
1669	种植
1670	月球
1671	１６日
1672	日子
1673	祝
1674	体委
1675	敢
1676	双
1677	非法
1678	毕业
1679	其实
1680	职业
1681	施工
1682	期
1683	北方
1684	问候
1685	战胜
1686	总额
1687	享受
1688	海
1689	训练
1690	截至
1691	２５日
1692	利润
1693	女子
1694	同样
1695	５月
1696	华侨
1697	国内外
1698	２８日
1699	转化
1700	传播
1701	展示
1702	贾
1703	巴黎
1704	安理会
1705	总是
1706	１４
1707	遇到
1708	姜
1709	架
1710	值得
1711	奖
1712	小学
1713	丁
1714	颇
1715	思路
1716	首脑
1717	拒绝
1718	错误
1719	幸福
1720	夏
1721	防止
1722	游客
1723	院长
1724	女儿
1725	夜
1726	贬值
1727	指标
1728	妇联
1729	十几
1730	１８
1731	１７日
1732	江南
1733	１８日
1734	当天
1735	主动
1736	特困
1737	游泳
1738	精心
1739	决心
1740	另外
1741	并且
1742	培育
1743	图书
1744	学会
1745	对象
1746	试验
1747	据悉
1748	注重
1749	回答
1750	战线
1751	优先
1752	增
1753	投资者
1754	研讨会
1755	出售
1756	下去
1757	内蒙古
1758	解放
1759	１９９２年
1760	曹
1761	农户
1762	第九
1763	道德
1764	城镇
1765	尉
1766	课题
1767	儿子
1768	●
1769	外交部
1770	健全
1771	她们
1772	代表大会
1773	跑
1774	帮
1775	歌
1776	减轻
1777	独联体
1778	章
1779	年度
1780	回族
1781	志愿者
1782	胜
1783	楼
1784	村里
1785	艺术家
1786	藏族
1787	法规
1788	解困
1789	扶持
1790	高校
1791	巴勒斯坦
1792	途径
1793	动物
1794	印尼
1795	事实
1796	各族
1797	活
1798	３０日
1799	女排
1800	云南
1801	湖北
1802	种子
1803	累计
1804	身体
1805	全局
1806	通信
1807	品牌
1808	义务
1809	差
1810	交警
1811	愿意
1812	需
1813	挂
1814	广西
1815	文
1816	军人
1817	风
1818	根
1819	３０００
1820	定
1821	重庆
1822	生态
1823	援助
1824	权力
1825	信
1826	所谓
1827	大部
1828	３日
1829	看望
1830	社区
1831	幅
1832	治
1833	河南
1834	更是
1835	层
1836	封
1837	现
1838	奥运会
1839	艰苦
1840	乱
1841	为什么
1842	健行
1843	１９９１年
1844	计算机
1845	丰收
1846	证据
1847	作家
1848	几十
1849	主办
1850	中华人民共和国
1851	浙江
1852	人家
1853	读书
1854	回到
1855	感受
1856	摆
1857	思考
1858	总量
1859	吸收
1860	叶利钦
1861	逐渐
1862	生
1863	清
1864	街道
1865	文字
1866	末
1867	唐
1868	迎接
1869	安置
1870	戏
1871	前夕
1872	放
1873	捐
1874	容易
1875	纺织
1876	最低
1877	大规模
1878	彻底
1879	相比
1880	线路
1881	３月
1882	雷
1883	光盘
1884	少数民族
1885	观看
1886	激烈
1887	车辆
1888	一方面
1889	处罚
1890	澳大利亚
1891	一行
1892	电价
1893	贝宁
1894	南部
1895	会长
1896	假
1897	求
1898	妈妈
1899	８月
1900	股
1901	啊
1902	配合
1903	位于
1904	动员
1905	科学院
1906	理想
1907	加以
1908	寻找
1909	冬季
1910	回升
1911	实事
1912	因而
1913	修改
1914	只是
1915	艰苦奋斗
1916	光
1917	同期
1918	钟山
1919	股份
1920	开辟
1921	商场
1922	发展中国家
1923	济南
1924	限制
1925	相关
1926	友谊
1927	费用
1928	合格
1929	现有
1930	纪律
1931	优惠
1932	清理
1933	转
1934	吧
1935	秦
1936	应用
1937	积累
1938	相对
1939	前提
1940	战斗
1941	似乎
1942	那里
1943	不得
1944	共有
1945	沈阳
1946	男子
1947	武装
1948	４月
1949	不久
1950	病
1951	沈
1952	褚
1953	以前
1954	宁
1955	祝愿
1956	省政府
1957	百年
1958	推向
1959	争
1960	资助
1961	全区
1962	相应
1963	计划生育
1964	心理
1965	广东省
1966	提
1967	司机
1968	拍卖
1969	笔
1970	收购
1971	哲学
1972	青少年
1973	法院
1974	实事求是
1975	枚
1976	职能
1977	军民
1978	摄影
1979	双边
1980	教职工
1981	汪
1982	泽东
1983	那样
1984	算
1985	菜
1986	流动
1987	４００
1988	版
1989	创办
1990	新型
1991	活跃
1992	哈
1993	负
1994	唯一
1995	故乡
1996	办事
1997	基金会
1998	亿
1999	竞争力
2000	港
2001	前往
2002	定价
2003	违反
2004	精品
2005	提前
2006	至今
2007	工厂
2008	牛
2009	辉煌
2010	审计
2011	日元
2012	童
2013	临时
2014	磊
2015	最新
2016	查处
2017	某些
2018	考试
2019	主导
2020	留
2021	发言人
2022	扩张
2023	也许
2024	名单
2025	其次
2026	落
2027	赔偿
2028	这部
2029	黄金
2030	竟
2031	真实
2032	亏损
2033	父母
2034	不要
2035	亮
2036	承诺
2037	奉献
2038	政权
2039	接
2040	医生
2041	互相
2042	海南
2043	至少
2044	会上
2045	６月
2046	实际上
2047	生产总值
2048	富
2049	房地产
2050	教学
2051	记
2052	后来
2053	掉
2054	乡亲
2055	饺子
2056	居
2057	身
2058	邹
2059	避免
2060	澳门
2061	领导班子
2062	老百姓
2063	调动
2064	国防部长
2065	骨干
2066	设置
2067	背景
2068	文物
2069	心中
2070	运作
2071	操作
2072	第五
2073	自由
2074	救助
2075	国会
2076	变成
2077	随
2078	文件
2079	到来
2080	飞行
2081	排
2082	新建
2083	水果
2084	摆脱
2085	评选
2086	亲自
2087	支队
2088	阿拉法特
2089	即使
2090	德
2091	条例
2092	东京
2093	科学技术
2094	２６日
2095	县委
2096	居住
2097	支付
2098	冒
2099	服装
2100	复杂
2101	大会堂
2102	见到
2103	大地
2104	率先
2105	办理
2106	赢得
2107	迟
2108	夫人
2109	联邦
2110	傅
2111	学科
2112	总部
2113	成熟
2114	卢
2115	镇
2116	宗教
2117	２４
2118	温
2119	约旦
2120	与此同时
2121	决赛
2122	初级
2123	强大
