review,sentiment,prediction
我 的 孩子 很 喜欢 。 绘画 精美 ， 精彩 。 合适 1 岁 多 的 小宝宝 理解 。 我 的 孩子 看到 小熊 生日 的 时候 就 哼 生日歌 ； 看到 小猩猩 笑 别人 尿床 的 时候 ， 会学 着 小猩猩 捂着 嘴笑 ； 看到 小兔子 因为 掉 了 雪糕 ， 张大嘴巴 哭 的 时候 ， 会笑 ； 看到 小河 马 的 大嘴巴 ， 会 很 喜欢 地 摸摸 。 。 。 这样 有趣 的 阅读 时刻 数不胜数 。 这 套书 不错 。 不过 阅读 的 过程 中 ， 孩子 并 不是 能 马上 理解 的 ， 需要 爸爸妈妈 耐心 地 一遍 又 一遍 地 讲 。 呵呵 。 。 。,0,1
  2 . 现在 为什么 订单 要 等 货物 审核 才 可以 支付 ， 我要 老 等 的 。 我 就 直接 网上支付 不行 的 。   3 . 电话 服务 老 让 人 等 的 ， 请 增加 服务 人数    ,0,1
距离 市区 远 ， 因为 有 接机 服务 就 选择 了 ， 司机 态度 不好 ， 酒店 感觉 有点 老旧 ， 看到 房间内 有 电脑 以为 设施 不错 ， 可问 后 知道 ， 只要 你 用 就 收一正天 费用 60 ， 狠 啊 ！ 就算 我 不 睡觉 的 用 也 不值 啊 ！ 综合 ： 不 适合 背包客 或 年轻人      ,0,1
  机子 没 发现 什么 缺点 ， 就是 京东 的 服务 好像 不怎么 的 ， 5 号 就 完成 了 付款 ， 订单 到 今天 才 完成    ,0,1
酒店 位置 很 偏 ， 大厅 很漂亮 ， 可是 房间 里 有 刚 装修 的 味道 ， 房间 偏暗 ， 床 也 偏低 ， 给 人 压抑 的 感觉 。 退房 后 酒店 反馈 给 携程 说 客人 没有 如期 入住 ， 也 让 客人 很 不 舒服 。      ,0,1
1 ， 虽 距离 首都 空港 很近 ， 但 交通 并 不 方便 。 航班 到达 时间 是 23 ： 30 ， 预约 时 告知 有 免费 接送 ， 但 到 着 时 却 被 告知 “ 因 超过 23 ： 00 ， 需交 60 元 接送 费 ” 。 。 。 无论 是否 收费 ， 或 价格 高低 ， 应 事先 与 预约 客户 声明 才 是 正理 。     2 ， 因为 距离 空港 太近 ， 几乎 没有 Taxi 愿意 接客 。 。 。     3 ， 房间 里 没有 吹风机 ， 想 和 前台 联系 借用 ， 但 电话 出 故障 。 。 。 作为 饭店 业务 的 一环 ， 每天 检查 客室 设备 应是 最起码 的 工作 。 。 。      ,0,1
  右 手腕 那里 有 一个 口 ， 貌似 读卡器 扩展 口 ， 没 盖板 ， 难看 。   做工 马马虎虎 ， 本本 抱 在 身上 用 的 时候 会 觉得 手腕 磨 的 疼 ， 主要 是因为 边角 太锐 。    ,0,1
  IBM   以前 的 笔记本 非常 的 好 ， 但 现在 的 外观 改动 太 大 ， 性能 方面 先不说 。 我 觉得 有 一个 我 非常 不能 接受 的 是 外盖 变成 了 钢琴 烤 漆 ， 一不小心 就 划一 道 ， 手一摸 就是 一个 印子 。    ,0,1
  如果 该 CPU 搭配 的 芯片组 也 能 升级 就 更好 了 ， 只是 价钱 就要 稍贵些 了 。    ,0,1
房间 的 隔音 效果 太 差 ， 中午 入住 时 还 能 听到 同一 楼层 的 赶活 声音 。 另外 ， 208 的 价格 还 没有 早餐 。      ,0,1
  送 了 那么 多 东西 ， 还用 了 - 100 的 卷 ， 好 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ 1    ,0,1
"房价 非常 贵 , 几乎 没有 房间 可以 看到 对岸 的 象鼻山 . 送 的 水果 饼干 又 少 又 不 好吃 . 装修 很 低档 的 , 离 市区 很 远 , 附近 没有 吃 的 地方 , 吃个 米粉 都 要 打 的 去 市区 ! ( 附带 的 说 超难 打 ) ! ! ! ! 谁 想 烧钱 谁 去 住 这个 号称 桂林 第一第二 老旧 的 酒店              ",0,1
很少 上来 点评 ， 但是 为了 让 大家 有个 正确 地 认识 ， 我 愿意 花 点 时间 来 点评 下 ： 我 的 建议 是 请 你 选择 别的 酒店 ， 因为 此 酒店 较 陈旧 ， 最 重要 的 是 房间 的 隔音 效果 非常 差 ， 我 本人 非常 的 不 适应 ， 当然 如果 您 对 噪音 觉得 无所谓 的话 ， 此 酒店 还是 可以 的 。              ,0,1
海兴 慕名 而 去 ！ 我 的 评价 ： 地段 差 ， 服务 一般般 ， 硬件 还 可以 ！      ,0,1
该 酒店 地段 不 方便 ， 超难 打车 ， 服务 不 到位 ， 酒店设备 有点 旧      ,0,1
今天 将 当当网 独家 首发 的 《 公平 定律 》 一口气 看 完 ， 大失所望 ！ 尤其 是 回过头来 对比 推荐人 王宏伟 （ 此人 干嘛 的 ？ ） 写 的 超级 肉麻 的 序 ， 真是 大 倒胃口 。 可以 体谅 ， 写 此书 的 孙寅贵 毕竟 是 个 小学 没有 毕业 的 人 ， 虽然 赚 到 钱 了 ， 在 商业 社会 里 应当 算是 个 成功人士 ， 但 毕竟 文字 般若 不足 ， 驾驭 文字 的 能力 有限 ， 如果 可以 和 孙 总 聊聊天 ， 估计 对 其 想 表达 的 意思 反而 会 了解 的 清楚 的 多 。 但 写成 书 ， 尤其 是 居然 总结 了 个 “ 定律 ” 实在 是 不知所云 ， 祥林嫂 似的 东拉西扯 了 半天 。 居然 可以 定价 33 元 ， 我 只能 对 出版界 的 朋友 说 一声 “ I   服 了   You ！ ”,0,1
虽然 说 是 4 星级 ， 不过 除了 大厅 感觉 够 气派 以外 ， 其余 仅仅 只能 说 一般 ~ ~     房间 里面 居然 有 好多 黑色 的 硬壳 小虫 ， 让 我们 觉得 很 是 恶心 阿 ...     当然 也 有 可能 因为 我们 住 的 是 3 号楼 ， 是不是 有点 成旧 的 关系 ？ 早餐 虽然 是 免费 的 ， 但是 看到 票价 也 要 20 呢 ， 菜品 实在 是 .....     不过 门口 那 部 劳斯莱斯 幻影 倒 是 的确 让 人 震撼 ！ 看得出 ， 老板 还是 很 有 实力 的 ！      ,0,1
8 月 头 通过 携程 订 的 两间 标房 ， 340 元 一间 ， 原想 四星级 的 标房 应该 很 不错 的 ， 可到 那 一看 ， 简直 就是 一个 招待所 的 水准 ， 装修 陈旧 ， 房间 又 小 ， 25 寸 的 电视机 还锁 在 柜子 里 。 很 不值 ， 下次 肯定 不会 再 去 这里 了 。      ,0,1
书 不错 。 就是 那个 速度 的     慢 的 要死,0,1
  预装 的 * * 系统 太 复杂 ， 不 适合 家用 ， 价钱 也 有点 高高 。   另外 就 剩太 完美 了 ！ ！ ！ 呵呵 ！    ,0,1
"我 在 两家 500 强 跨国公司 工作 过 , 翻 了 翻 这 本书 大致 可以 还原 出 作者 的 真实 品行 和 生活 状态 , 土包子 就是 土包子 , 在 精神 层面 上 永远 变 不成 白领 的 这 本书 骗骗 2 - 3 线 城市 没见 过 外企 世面 的 人 大概 还 可以 , 在 上海 会 被 完全 无视 .",0,1
  重量 还是 有点 重 的 ， 不像 想象 中 的 那么 轻 ， 不过 放在 背包 里 也 感觉 不到 。 比 公司 里 的 Dell 轻 很多 ， 比 其他 上网 本 还是 要重 一些 的 。   只有 一个 内存 插槽 ， 不过 标配 的 1G 也 够用 了 。   Atom 的 性能 还 不是 特别 强大 。    ,0,1
